@RELATION MUX6_Train

@ATTRIBUTE A_0 {0,1}
@ATTRIBUTE A_1 {0,1}
@ATTRIBUTE R_0 {0,1}
@ATTRIBUTE R_1 {0,1}
@ATTRIBUTE R_2 {0,1}
@ATTRIBUTE R_3 {0,1}
@ATTRIBUTE Class {0,1}

@DATA
1,0,1,0,1,1,1
1,0,0,0,0,1,0
0,1,1,0,0,1,0
1,1,1,1,1,1,1
0,0,0,1,1,0,0
0,0,0,0,1,0,0
1,1,0,1,0,1,1
0,1,0,1,0,1,1
1,1,0,0,0,1,1
1,0,1,0,1,0,1
0,1,0,1,0,0,1
0,0,1,0,0,0,1
1,0,1,1,0,0,0
0,0,1,0,0,0,1
0,0,1,0,0,0,1
1,0,0,0,0,0,0
1,0,0,0,0,1,0
1,1,0,1,0,1,1
0,0,1,0,0,0,1
0,1,1,1,0,1,1
1,0,1,0,1,1,1
1,0,1,0,0,0,0
1,0,1,1,1,1,1
0,1,0,0,0,0,0
1,1,1,1,0,0,0
1,0,0,0,1,1,1
1,0,1,0,1,1,1
0,1,0,0,0,1,0
1,1,0,0,0,1,1
1,1,0,0,1,1,1
0,0,0,0,1,0,0
1,0,0,0,0,0,0
0,1,1,1,1,0,1
1,0,1,0,1,0,1
0,0,1,0,1,1,1
1,1,0,0,1,0,0
0,1,0,1,0,0,1
0,0,0,1,1,1,0
0,1,1,0,1,0,0
0,0,1,0,0,0,1
0,1,1,0,0,1,0
1,0,0,1,0,1,0
0,1,1,1,0,1,1
0,1,1,1,0,1,1
0,0,0,1,0,0,0
1,1,1,1,1,0,0
0,0,0,1,1,0,0
0,1,0,1,1,0,1
0,0,1,1,0,1,1
1,1,1,0,0,1,1
0,0,1,0,1,0,1
1,1,0,1,1,1,1
0,0,0,1,1,1,0
0,1,1,0,0,1,0
1,0,1,0,0,1,0
1,0,0,1,0,1,0
1,1,1,0,0,0,0
1,0,1,0,0,0,0
0,0,0,1,0,1,0
0,0,0,1,1,1,0
0,1,1,1,0,0,1
1,0,1,0,0,0,0
0,1,0,0,0,0,0
0,1,1,1,0,1,1
0,0,1,1,0,0,1
1,0,1,0,0,0,0
0,1,1,0,0,1,0
0,1,1,1,0,0,1
1,0,1,0,0,1,0
0,1,0,0,1,0,0
0,1,1,1,1,0,1
1,0,1,1,1,1,1
1,1,0,0,0,0,0
0,0,1,1,1,0,1
1,1,1,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,1,0,0
1,1,1,1,0,1,1
0,1,0,0,1,0,0
