A_0	A_1	R_0	R_1	R_2	R_3	Class	Group	InstanceID
1	0	1	0	1	1	1	2	1
1	0	0	0	0	1	0	2	2
0	1	1	0	0	1	0	1	3
1	1	1	1	1	1	1	3	4
0	0	0	1	1	0	0	0	5
0	0	0	0	1	0	0	0	6
1	1	0	1	0	1	1	3	7
0	1	0	1	0	1	1	1	9
1	1	0	0	0	1	1	3	10
1	0	1	0	1	0	1	2	11
0	1	0	1	0	0	1	1	12
0	0	1	0	0	0	1	0	13
1	0	1	1	0	0	0	2	15
0	0	1	0	0	0	1	0	16
0	0	1	0	0	0	1	0	17
1	0	0	0	0	0	0	2	18
1	0	0	0	0	1	0	2	19
1	1	0	1	0	1	1	3	20
0	0	1	0	0	0	1	0	21
0	1	1	1	0	1	1	1	22
1	0	1	0	1	1	1	2	23
1	0	1	0	0	0	0	2	24
1	0	1	1	1	1	1	2	25
0	1	0	0	0	0	0	1	26
1	1	1	1	0	0	0	3	27
1	0	0	0	1	1	1	2	28
1	0	1	0	1	1	1	2	30
0	1	0	0	0	1	0	1	31
1	1	0	0	0	1	1	3	32
1	1	0	0	1	1	1	3	33
0	0	0	0	1	0	0	0	34
1	0	0	0	0	0	0	2	35
0	1	1	1	1	0	1	1	36
1	0	1	0	1	0	1	2	37
0	0	1	0	1	1	1	0	38
1	1	0	0	1	0	0	3	39
0	1	0	1	0	0	1	1	40
0	0	0	1	1	1	0	0	41
0	1	1	0	1	0	0	1	42
0	0	1	0	0	0	1	0	43
0	1	1	0	0	1	0	1	45
1	0	0	1	0	1	0	2	46
0	1	1	1	0	1	1	1	47
0	1	1	1	0	1	1	1	48
0	0	0	1	0	0	0	0	49
1	1	1	1	1	0	0	3	50
0	0	0	1	1	0	0	0	51
0	1	0	1	1	0	1	1	52
0	0	1	1	0	1	1	0	53
1	1	1	0	0	1	1	3	54
0	0	1	0	1	0	1	0	55
1	1	0	1	1	1	1	3	56
0	0	0	1	1	1	0	0	57
0	1	1	0	0	1	0	1	59
1	0	1	0	0	1	0	2	60
1	0	0	1	0	1	0	2	61
1	1	1	0	0	0	0	3	62
1	0	1	0	0	0	0	2	64
0	0	0	1	0	1	0	0	65
0	0	0	1	1	1	0	0	66
0	1	1	1	0	0	1	1	68
1	0	1	0	0	0	0	2	69
0	1	0	0	0	0	0	1	70
0	1	1	1	0	1	1	1	71
0	0	1	1	0	0	1	0	72
1	0	1	0	0	0	0	2	73
0	1	1	0	0	1	0	1	74
0	1	1	1	0	0	1	1	75
1	0	1	0	0	1	0	2	76
0	1	0	0	1	0	0	1	77
0	1	1	1	1	0	1	1	78
1	0	1	1	1	1	1	2	79
1	1	0	0	0	0	0	3	80
0	0	1	1	1	0	1	0	81
1	1	1	0	0	0	0	3	82
0	1	0	0	0	0	0	1	83
0	1	0	0	1	0	0	1	85
1	1	1	1	0	1	1	3	86
0	1	0	0	1	0	0	1	89
1	1	0	1	1	1	1	3	90
0	1	0	0	0	1	0	1	91
1	1	0	0	1	0	0	3	92
1	0	1	0	1	0	1	2	93
0	0	1	0	0	0	1	0	94
1	1	1	1	1	0	0	3	95
0	1	0	1	0	1	1	1	97
0	0	0	0	0	0	0	0	98
1	0	0	0	1	0	1	2	99
0	1	0	1	0	1	1	1	100
1	0	1	0	1	0	1	2	101
1	0	0	1	1	1	1	2	102
0	1	1	1	0	0	1	1	103
0	0	0	1	1	1	0	0	104
1	0	1	0	0	0	0	2	106
1	0	1	0	0	1	0	2	107
1	1	1	1	1	0	0	3	108
0	1	1	0	0	1	0	1	109
0	0	0	1	1	1	0	0	110
0	0	0	0	1	1	0	0	111
1	1	0	0	0	1	1	3	112
0	1	1	0	1	1	0	1	113
0	0	1	0	0	0	1	0	114
1	1	0	0	1	1	1	3	115
0	1	0	1	0	0	1	1	116
1	0	1	1	0	0	0	2	117
0	1	0	0	1	1	0	1	118
0	0	0	0	0	1	0	0	119
0	1	1	0	1	1	0	1	120
0	0	1	0	0	1	1	0	121
0	0	1	0	0	0	1	0	122
1	0	1	1	0	0	0	2	123
1	1	0	1	0	0	0	3	125
0	0	1	0	1	0	1	0	126
0	0	1	0	0	1	1	0	127
1	0	1	1	1	0	1	2	128
1	1	1	1	1	1	1	3	129
1	1	0	1	1	0	0	3	130
0	0	0	0	1	1	0	0	131
0	1	1	0	0	1	0	1	132
1	0	1	0	0	1	0	2	133
0	0	1	1	1	0	1	0	134
0	1	0	1	0	1	1	1	135
0	0	1	1	0	1	1	0	136
1	1	0	0	1	0	0	3	137
0	1	0	1	1	0	1	1	139
1	0	1	0	0	1	0	2	140
0	0	1	0	0	1	1	0	141
0	0	1	1	0	0	1	0	142
1	1	1	0	1	1	1	3	143
0	1	1	1	0	0	1	1	144
0	1	0	1	0	0	1	1	145
1	1	0	0	1	0	0	3	146
1	1	0	1	0	1	1	3	147
0	0	1	1	1	0	1	0	148
0	0	0	0	0	0	0	0	149
1	0	1	1	1	0	1	2	150
1	0	0	1	1	1	1	2	151
0	1	0	1	1	1	1	1	153
1	0	0	0	1	1	1	2	154
1	1	0	1	0	1	1	3	156
0	1	1	0	1	0	0	1	157
0	1	1	1	1	1	1	1	158
0	0	0	1	0	0	0	0	159
1	0	0	0	1	1	1	2	160
0	0	0	1	1	1	0	0	161
1	1	1	1	1	0	0	3	162
0	1	0	1	1	0	1	1	163
1	0	0	0	0	1	0	2	164
1	1	0	1	0	0	0	3	166
1	0	1	1	1	1	1	2	167
0	0	0	0	0	0	0	0	168
0	0	1	0	0	0	1	0	169
0	0	0	0	1	0	0	0	171
1	0	0	0	0	1	0	2	172
0	0	0	1	0	1	0	0	173
1	1	1	1	0	0	0	3	174
0	0	0	1	0	1	0	0	175
1	1	1	1	1	1	1	3	176
0	0	1	0	1	1	1	0	177
1	0	0	0	0	0	0	2	179
1	0	0	1	0	0	0	2	180
1	0	1	1	1	0	1	2	181
1	1	0	0	0	0	0	3	182
1	1	0	1	0	1	1	3	183
0	1	1	1	1	0	1	1	184
0	1	1	0	1	1	0	1	185
1	0	0	1	0	1	0	2	187
0	1	0	0	0	0	0	1	188
1	0	0	1	0	0	0	2	189
1	1	0	1	0	0	0	3	190
1	0	1	1	0	1	0	2	192
0	1	1	0	1	0	0	1	193
0	0	0	0	0	1	0	0	194
0	0	0	0	1	1	0	0	195
1	1	0	0	0	0	0	3	196
1	0	1	0	0	0	0	2	197
0	0	1	0	1	1	1	0	198
0	0	1	1	1	0	1	0	200
0	1	0	1	0	0	1	1	201
0	0	0	1	0	1	0	0	202
0	0	0	1	0	1	0	0	203
0	0	1	1	0	0	1	0	204
0	1	0	1	1	1	1	1	205
1	1	1	0	1	0	0	3	206
0	0	0	1	1	0	0	0	207
0	1	0	0	0	1	0	1	208
