A_0	A_1	A_2	R_0	R_1	R_2	R_3	R_4	R_5	R_6	R_7	Class	Group	InstanceID
0	1	1	1	1	1	0	1	1	1	1	0	3	1
1	0	1	0	1	1	0	1	1	1	1	1	5	2
1	1	0	0	0	1	0	0	0	0	1	0	6	3
0	0	1	0	0	1	0	0	1	1	0	0	1	4
1	0	1	1	0	1	1	1	1	1	1	1	5	5
1	0	1	1	0	1	1	0	0	0	1	0	5	6
1	1	0	0	0	1	1	1	1	0	1	0	6	7
1	0	1	0	0	0	1	0	1	1	1	1	5	8
0	1	0	0	1	1	1	1	1	0	1	1	2	9
1	0	0	1	1	0	1	1	0	0	0	1	4	11
1	1	1	1	0	1	0	1	1	1	0	0	7	12
1	0	0	1	0	1	0	1	0	0	0	1	4	13
1	1	0	0	0	1	0	0	0	1	1	1	6	14
0	0	0	0	1	1	1	0	0	1	0	0	0	15
0	1	1	0	1	1	1	1	0	0	0	1	3	16
0	0	0	0	0	0	0	1	1	0	0	0	0	18
0	1	1	1	0	1	1	1	0	0	0	1	3	19
0	0	1	1	1	0	0	0	0	0	0	1	1	20
0	0	1	0	0	0	0	1	1	0	0	0	1	21
0	1	0	0	0	0	1	0	1	0	1	0	2	22
0	1	1	1	1	0	0	0	0	1	1	0	3	23
0	1	0	0	1	1	0	1	1	0	1	1	2	24
1	0	1	1	1	1	1	1	0	0	0	0	5	25
0	1	0	0	1	1	0	1	0	0	1	1	2	26
1	1	1	0	0	1	1	0	0	1	0	0	7	27
1	0	0	1	0	0	1	0	1	0	0	0	4	28
1	1	0	0	0	0	1	1	0	0	1	0	6	29
1	1	1	0	1	1	0	1	0	0	0	0	7	30
1	0	1	1	1	0	1	1	1	0	0	1	5	31
0	1	1	1	0	1	1	0	1	1	1	1	3	32
1	1	0	0	0	1	0	1	0	1	1	1	6	33
1	0	1	0	1	1	1	1	1	1	0	1	5	34
1	1	1	1	1	0	1	1	1	1	0	0	7	35
0	1	0	0	0	0	1	1	0	1	0	0	2	36
1	1	1	1	1	0	0	1	0	0	0	0	7	37
1	0	1	1	0	1	0	0	0	1	0	0	5	40
1	0	1	0	1	0	0	1	0	0	0	0	5	43
0	0	1	1	0	1	1	1	0	1	1	0	1	44
0	0	0	1	0	0	1	0	0	1	0	1	0	45
0	1	0	0	1	1	1	1	0	1	1	1	2	46
1	0	1	1	0	0	0	0	1	0	0	1	5	47
1	1	1	0	0	0	0	0	0	0	0	0	7	48
1	1	1	1	1	0	0	0	0	0	0	0	7	49
0	1	0	1	0	0	0	0	1	1	0	0	2	50
0	0	0	1	0	1	1	0	1	1	1	1	0	51
0	0	0	1	0	1	0	1	1	1	0	1	0	52
1	0	1	1	1	1	1	0	0	0	1	0	5	53
0	1	0	0	0	1	0	0	1	0	0	1	2	54
0	0	0	1	1	0	0	0	0	0	1	1	0	55
1	0	1	0	0	1	1	0	0	1	1	0	5	56
0	1	1	1	1	1	0	1	0	0	1	0	3	57
0	0	1	1	1	0	1	0	1	0	1	1	1	58
0	0	0	0	0	0	0	1	0	0	1	0	0	59
0	1	0	1	0	1	1	0	1	1	0	1	2	60
0	1	1	0	0	1	1	1	0	0	1	1	3	61
0	1	0	0	0	1	1	0	1	0	0	1	2	62
1	1	1	1	1	0	0	1	1	1	0	0	7	63
1	0	0	0	1	0	0	1	1	1	1	1	4	64
0	0	1	1	0	0	1	0	0	1	1	0	1	65
1	0	0	1	0	0	0	0	0	1	1	0	4	66
0	0	0	0	1	0	1	1	0	1	0	0	0	67
1	0	0	0	1	1	1	0	1	0	0	0	4	68
1	0	1	0	1	1	1	0	0	0	1	0	5	69
0	0	1	1	1	1	0	1	1	0	1	1	1	70
1	0	1	0	1	0	1	0	1	1	1	1	5	71
1	0	1	1	1	0	1	0	0	0	1	0	5	73
1	0	0	1	1	0	0	1	1	0	1	1	4	74
0	1	0	0	1	1	0	0	1	1	1	1	2	75
1	1	1	1	0	1	0	0	0	0	1	1	7	76
0	0	1	0	0	1	0	0	0	0	1	0	1	78
0	1	1	0	1	1	0	0	0	0	0	0	3	79
0	1	1	1	1	1	1	1	0	1	0	1	3	80
0	0	1	0	1	0	1	0	1	1	1	1	1	81
1	1	0	1	0	1	1	0	0	0	0	0	6	82
0	1	0	1	1	0	0	0	0	1	0	0	2	83
1	1	1	0	1	1	0	0	1	1	1	1	7	85
1	1	0	0	0	1	0	0	0	1	1	1	6	86
1	0	0	1	0	1	1	1	1	0	0	1	4	87
0	0	1	1	1	1	0	1	0	0	0	1	1	89
0	0	0	1	1	0	0	0	0	0	1	1	0	90
0	1	0	0	1	1	0	1	1	1	1	1	2	91
1	1	1	1	0	0	1	0	0	1	0	0	7	92
1	0	0	1	0	0	0	1	1	1	1	1	4	93
0	0	0	1	1	0	0	1	1	0	1	1	0	94
1	1	1	1	0	1	1	0	1	1	1	1	7	95
1	0	0	0	0	0	0	0	0	0	0	0	4	96
1	0	1	0	1	1	1	1	0	0	0	0	5	97
1	0	1	1	0	0	1	0	0	1	1	0	5	98
0	0	0	0	0	0	0	0	0	0	1	0	0	99
1	1	1	1	1	1	0	0	0	1	1	1	7	100
0	1	0	0	1	1	1	0	0	0	0	1	2	101
1	0	1	1	0	1	0	0	1	0	1	1	5	102
1	1	1	1	0	1	0	1	1	1	0	0	7	103
1	1	0	1	0	0	1	1	0	0	0	0	6	104
0	0	1	0	0	0	1	0	0	0	1	0	1	105
0	0	1	1	0	0	1	1	0	1	0	0	1	106
1	1	0	1	1	0	0	0	1	1	0	1	6	107
1	1	1	0	1	0	1	1	1	1	1	1	7	108
1	1	0	1	1	0	0	1	0	0	0	0	6	109
0	1	1	1	1	1	1	0	0	1	1	1	3	110
0	0	0	0	1	1	0	0	1	1	0	0	0	111
0	1	0	0	0	1	1	0	0	0	1	1	2	112
0	1	0	0	1	1	0	1	0	1	0	1	2	113
0	0	0	0	1	1	1	0	1	0	0	0	0	114
0	1	0	1	0	0	1	1	1	1	0	0	2	115
0	1	0	1	1	1	1	0	1	0	0	1	2	116
0	1	1	1	0	1	1	1	1	0	0	1	3	117
0	1	0	1	1	1	0	0	1	1	0	1	2	118
1	0	0	1	1	1	0	1	1	0	1	1	4	119
1	0	0	1	0	1	0	1	1	0	0	1	4	120
0	0	0	1	0	0	1	1	0	0	1	1	0	121
1	1	0	0	0	1	1	0	1	0	0	0	6	122
1	0	0	1	0	1	0	1	0	1	0	1	4	123
1	1	1	0	0	0	0	0	0	0	1	1	7	124
1	0	0	0	0	0	0	0	1	0	1	0	4	125
1	0	1	0	0	0	0	1	1	1	1	1	5	126
0	0	1	0	0	0	1	1	0	1	0	0	1	127
1	1	0	1	0	1	1	0	0	0	0	0	6	128
1	1	1	0	1	0	0	1	0	0	0	0	7	130
1	1	1	1	1	1	1	0	1	0	1	1	7	131
1	0	0	0	0	1	1	1	1	1	1	1	4	132
0	0	0	1	0	1	0	1	1	1	1	1	0	133
1	0	1	0	1	1	1	1	1	0	1	1	5	134
0	1	1	0	0	0	0	0	1	0	1	0	3	135
1	0	0	0	0	1	0	0	0	1	1	0	4	136
0	0	1	1	1	1	1	0	1	1	1	1	1	137
0	0	1	0	1	1	0	1	0	1	1	1	1	138
0	0	1	0	1	0	0	0	0	0	1	1	1	139
1	0	0	0	0	0	0	0	0	1	0	0	4	140
0	0	1	0	1	0	1	0	1	1	1	1	1	141
0	1	0	0	0	1	1	1	0	1	0	1	2	142
1	1	0	1	1	0	0	1	1	0	1	0	6	143
0	1	0	1	1	0	0	0	0	1	1	0	2	144
1	0	1	1	1	1	0	1	1	1	1	1	5	145
0	1	0	0	0	1	0	0	0	1	0	1	2	146
0	1	0	0	0	1	1	0	0	0	0	1	2	147
1	0	0	1	1	1	0	0	1	0	1	0	4	148
0	1	1	1	0	0	0	0	0	1	1	0	3	150
1	1	1	1	1	1	0	0	1	0	1	1	7	151
1	1	0	0	1	0	1	0	1	0	1	0	6	152
1	1	0	0	1	1	1	1	1	0	0	0	6	153
0	1	0	1	0	0	1	1	1	1	0	0	2	154
1	0	1	1	1	1	1	1	1	0	1	1	5	155
1	0	1	1	0	1	0	0	1	1	0	1	5	156
1	0	1	0	0	1	0	1	0	1	1	0	5	158
0	1	0	0	0	0	1	0	0	1	1	0	2	159
0	1	0	1	0	0	0	0	1	0	0	0	2	160
1	0	1	0	0	0	0	0	1	1	0	1	5	161
0	0	0	0	1	0	1	1	1	1	0	0	0	162
1	0	0	0	1	1	1	0	1	0	1	0	4	163
0	0	0	1	1	1	0	1	1	0	0	1	0	164
0	1	0	1	0	1	1	1	1	0	1	1	2	165
1	0	0	0	1	1	1	0	1	1	0	0	4	166
1	1	1	0	0	0	1	0	0	1	0	0	7	167
0	1	0	1	0	1	0	1	0	1	1	1	2	168
0	0	1	1	1	1	0	0	1	0	0	1	1	169
1	0	0	1	0	0	0	0	1	0	1	0	4	170
0	0	1	1	0	1	1	1	0	0	1	0	1	172
1	1	1	0	0	1	1	0	1	0	1	1	7	173
0	0	1	0	1	1	1	0	1	0	0	1	1	174
1	1	1	1	0	0	1	1	1	0	1	1	7	175
1	1	1	0	0	0	0	1	1	0	1	1	7	176
0	0	0	0	0	1	1	0	0	1	1	0	0	177
0	1	0	0	0	0	1	1	1	1	0	0	2	178
1	1	0	1	0	0	0	1	1	0	1	0	6	179
1	0	0	0	0	0	0	0	1	0	1	0	4	180
1	1	1	1	0	0	1	0	1	1	0	0	7	181
0	0	1	1	1	1	0	1	1	0	1	1	1	182
0	0	0	1	0	0	1	1	1	0	0	1	0	183
0	1	1	0	1	0	0	1	1	1	0	0	3	184
0	1	1	0	0	0	0	0	1	1	0	0	3	185
0	0	1	1	1	0	0	1	0	1	1	1	1	186
1	0	0	1	1	1	1	0	1	0	0	0	4	187
1	0	0	0	1	1	0	0	0	0	1	0	4	190
1	1	1	1	0	0	1	0	0	1	1	1	7	191
1	1	1	0	0	0	0	0	0	0	0	0	7	192
0	0	0	0	1	1	0	0	1	0	1	0	0	193
0	1	1	0	0	1	1	0	0	0	1	1	3	194
0	1	1	0	0	0	1	0	1	0	1	1	3	195
1	0	0	0	0	1	0	0	0	0	1	0	4	196
