A_0	A_1	A_2	A_3	R_0	R_1	R_2	R_3	R_4	R_5	R_6	R_7	R_8	R_9	R_10	R_11	R_12	R_13	R_14	R_15	Class	Group	InstanceID
1	1	0	1	1	1	0	1	0	0	0	0	0	0	0	1	1	1	0	1	1	13	1
1	1	0	0	0	1	0	1	0	1	1	0	1	0	0	1	1	1	1	0	1	12	2
0	1	0	1	0	1	0	1	1	1	1	0	0	1	1	0	0	0	0	1	1	5	3
0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	1	1	0	1	0	0	1	4
0	1	1	0	1	0	0	0	0	0	1	1	1	1	1	0	1	0	1	0	1	6	5
1	0	1	0	0	1	0	1	0	1	1	1	0	0	0	0	0	1	1	1	0	10	6
1	0	1	1	0	1	0	1	1	0	0	1	1	1	1	0	1	0	0	1	0	11	7
1	1	1	1	0	0	1	1	1	1	0	0	1	0	0	1	0	0	1	1	1	15	8
0	1	1	0	1	1	1	1	1	1	1	0	0	0	0	1	0	0	1	0	1	6	9
1	0	0	1	1	0	1	0	1	1	1	1	1	0	1	0	0	0	0	0	0	9	10
0	1	1	1	0	1	1	1	1	1	0	1	0	0	0	0	0	0	1	0	1	7	11
0	1	1	1	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	7	12
1	1	1	1	0	0	0	0	1	0	1	0	1	0	0	1	0	1	1	0	0	15	13
1	0	1	0	0	1	0	0	1	1	0	0	0	0	0	1	1	1	0	1	0	10	14
1	1	1	0	0	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	0	14	15
0	0	1	1	0	0	1	0	0	1	1	0	1	1	1	1	1	1	0	0	0	3	17
0	1	1	0	1	0	1	0	0	0	0	0	1	1	1	1	0	0	1	1	0	6	18
1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	1	0	0	0	8	19
1	1	1	0	1	1	0	0	1	1	0	0	0	1	0	1	1	0	1	1	1	14	20
1	0	1	1	1	0	0	0	0	0	1	0	1	0	0	1	1	1	1	1	1	11	22
1	0	1	1	0	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	11	23
1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	0	1	12	25
0	1	1	0	0	1	0	0	0	1	1	0	1	1	0	0	1	1	1	0	1	6	26
1	0	1	1	1	0	0	0	0	1	1	0	0	1	1	0	0	0	1	0	0	11	27
0	1	0	1	1	0	1	1	0	1	1	1	1	1	0	1	0	0	0	0	1	5	28
1	1	0	1	1	0	0	1	1	0	0	0	1	1	0	0	0	0	1	1	0	13	29
1	1	0	1	0	1	0	1	0	1	1	1	1	1	1	1	0	1	1	0	1	13	31
1	1	0	1	0	1	0	0	1	1	1	1	1	0	0	1	0	1	0	0	1	13	32
0	1	0	1	1	1	0	1	0	0	1	0	1	1	1	0	1	1	1	1	0	5	33
1	0	0	1	1	0	1	0	1	0	0	0	1	0	0	0	0	1	0	1	0	9	34
0	0	1	0	0	1	1	0	1	1	0	1	0	0	0	0	0	0	1	0	1	2	35
0	1	1	1	1	0	0	1	0	0	1	1	0	0	1	0	1	0	1	1	1	7	36
0	1	0	1	0	0	0	1	1	1	0	0	0	1	0	1	1	0	0	1	1	5	37
0	0	0	1	0	1	0	0	0	0	1	0	1	0	1	0	1	1	1	0	1	1	38
0	0	1	1	0	0	1	1	0	0	1	0	0	1	0	1	1	1	0	1	1	3	39
1	1	1	0	0	0	1	1	0	0	0	1	1	1	1	0	1	0	1	0	1	14	40
1	1	1	1	0	1	0	1	1	1	0	0	0	1	1	0	1	1	0	1	1	15	41
1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	15	42
0	1	0	0	1	1	0	0	0	1	0	1	1	1	0	1	1	1	0	0	0	4	43
1	0	1	1	0	0	1	1	0	1	0	1	1	1	0	1	1	0	0	0	1	11	44
0	0	0	0	1	0	1	0	1	0	1	1	0	1	1	1	0	0	1	0	1	0	45
1	0	0	1	0	1	0	1	0	0	0	1	1	0	1	1	1	1	1	1	0	9	46
0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	4	47
1	1	0	1	1	0	1	1	0	1	1	1	0	1	0	1	0	1	0	1	1	13	49
1	1	0	0	1	1	0	1	1	1	1	0	0	1	1	1	0	0	0	0	0	12	50
0	1	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	1	1	1	0	4	51
0	0	1	1	1	0	1	1	1	1	1	0	0	0	1	0	0	1	1	0	1	3	52
1	1	1	1	0	0	0	1	0	1	0	0	0	1	1	1	0	0	1	1	1	15	53
